"","-e + a","-o + a","'Bigarren graduko leku aditzondoa","'Gainean' postposizioa","""Anitz"" zenbatzaile zehaztugabea","""arrautza” hitzaren bilakaera","""Aski"" adberbioa","""Bat ere"" zenbatzaile zehaztugabea","""Car” antolatzailea","""Inor"" izenordain zehaztugabea","""X-ren burua"" bihurkaria","""Zer"" izenordain galdetzailea","“-rh- / -h-” aldaketa “eraztun” hitzean","“(s, z, x) > (ts, tz, tx) / (n, l, r) __” araua","“anaia” hitzaren bilakaera","“Arazi” aditzaren erabilera","“au > ai” aldaketa “auzo” hitzean","“bait-“ partikularen aldaerak","“baizik” hitzaren aldaerak","“bardin / berdin” aldaerak","“e- > -i” aldaketa “igorri” aditzean","“e-a > a-a” asimilazioa “zapata” hitzean","“ez + (b-, d-, g-)” arau fonologikoaren gauzatzea","“ez + z-” arau fonologikoaren gauzatzea","“leiho” hitzaren bilakaera","“mahai” hitzaren aldaerak","“Même” antolatzailea","“mut(h)il / mithil” alderak","“o + n > un” arau fonologikoa","“Plus” aditzondoa","“Très” aditzondoa","“zein” partikularen aldaerak","(p, t, k) > (b, d, g) / (n, l, r) __ araua 'zango'","[kh] soinua “ekarri” hitzean","[th] soinua “maitatu” hitzean","[ü] soinua “guti” hitzean","/h/ fonemaren agerrera “hosto” hitzean","Ablatiboaren kasu-marka","Aditz aspektua [+ burutua]","Aditz aspektua [+ etorkizuna]","aditz trinkoak (emaidazu)","aditz trinkoak (zatozte)","aditz trinkoak (zegoelarik)","Adjektiboak (gradu superlatiboa)","Adlatibo bukatuzkoa kasu-marka aditz-izenekin","Adlatibo bukatuzkoaren pluraleko marka","Adlatibo bukatuzkoaren singularreko  marka","aimer","aîné","Alokutiboaren erabilera deskribapenetan","X51","Amaierako “–n” hotsaren galtzea “orain” hitzean","âne","appeler","apporter","après","argent","arroser","Atributuaren marka","aujourdhui","Aurkaritzako juntagailuak balio murriztailearekin","avant","baiser","Baldintzazko perpausak","Balitz [izan, + alegiazkoa, - ahal, hura]","Bigarren graduko erakuslea","Bigarren graduko posesiboa","boeuf","boire","bois","Bokalarteko “-g-”ren aldaketak “sagar” hitzean","Bokalarteko “-l- / -r-” txandaketa","Bokalarteko “-r-” hotsaren galtzea","bon","bras","bruit","canard","champs","chanter","chasse","chauffer","chemin","chien","chou","ciel","coq","cou","coupable","croire","Datibo pluraleko marka gramatikala","Denborazko perpausak","dépenser","dernier","Dezadan [ezan, +orain, -ahal, nik-hura]","Diezaiola [edun, +agintera, hark-hari-hura]","Diot [edun, +orain, -ahal, nik-hari-hura]","Diru: UKAN ETA ZENBAKAITZAREN KONBINAKETA","Dituzte [edun, + orain, -ahal, haiek-haiek]","doigt","domestique","dormir","Edutezko genitiboaren kasu-marka","égal","Emendiozko juntagailuekin juntagaien kasu-marka","enfin","envoyer","Erlatibozko perpausak (erref. pertsona izanik)","Erlatibozko perpausak (erreferentzia lekua izanik)","escabeau","étoile","faim","femme","fenêtre","feu","feuille","fleurs","fou","froid","fromage","fruit","Galderazko perpausak","Gara [izan, + orain, - ahal, gu]","garder","Gasna: ZENBAKARRI ETA ZENBAKAITZEN KOORDINAZIOA","gens","Haiz [izan, + orain, - ahal, hi]","Haizate [izan, + orain, + ahal, hi]i","hardes","Helburuzko perpausak","heureux","hier","Hirugarren graduko erakusle plurala","Hirugarren graduko posesibo bihurkaria","Hirugarren graduko posesiboa","homme","ici","Iezaiozue [edun, +agintera, zuek-hari-hura]","Instrumentalaren kasu-marka","izan / ukan + objektuaren marka","jambe","jardin","jeune","joie","jolie","jurant","Kartiel: OBJEKTUAREN ESPEZIFIKOTASUNA","Kausazko perpausak","Komunztadura objektu pluralarekin","lande","larme","légèrement","Lehen graduko leku aditzondoa","Lehen graduko posesiboa","lever (se)","lit","loin","lune","maintenant","maître","malheureux","manger","méchant","mettre","mois","Nadin [edin, + orain, - ahal, ni]","Nagusi: IZAN PREDIKAZIO TESTUINGURUETAN","naître","nappe","Nazazuen [ezan, + orain, -ahal, zuek-ni]","neufs","Nintzen [izan, + iragan, - ahal, ni]","nuit","obeir","objektu generikoaren agerpena","œil","oeuf","oiseau","Osagarri zuzenaren kasu-marka","Osagarrizko perpausak","ouvrir","p-/b- fonemen distribuzioa “barkatu” hitzean","paraître","pardonner","partager","partie","Partitiboaren kasu-marka","Partizipioaren marka (-a / -rik)","pauvre","péché","pied","pommier","porc","pourrir","poussière","prendre","prodigue","punir","quitter","raisin","rasembler","regarder","réjouir (se)","répondre","reproche","retrouver","rivière","s´en aller","savoir","soir","soulier","Soziatiboaren kasu-marka","sueur","table","temps","tendre","tiroir","Toka (“hi” gizona) + -n","tomber","tôt","traîner","traiter","traverser","trouver","tuer","Uste: USTE-REN MENDEKO PERPAUSAREN IZAERA","utzi + aditz-izenaren kasu-marka","veau","vendre","venir","ventre","veste","vide","vin","vite","vivre","voisin","voler","Zarete [izan, + orain, - ahal, zuek]","Zeharkako perpausak","Zenbatzaile orokorrak","Zien [edun, +iragan, -ahal, hark-haiei-hura]","Zion [edun, +iragan, -ahal, hark-hari-hura]","Zituen [edun, + orain, -ahal, hark-haiek]","Zizkion [edun, +iragan, -ahal, hark-hari-haiek]","Zukeen [edun, + iragan, + ahal, hark-hura]","location","lat","lon"
"Ahatsa-Altzieta-Bazkazane","-ia","-uak","hara","-aren gainean","anhitz","arroltze","aski","gehiago",NA,"nehor","bere burua","zer","erhaztun","z-","anaia","jarraazi","auzo","bait-","baizik","berdin","igorri","zapata","-zt-","etz-",NA,"mahain","berean",NA,NA,"gehiago","biziki","zoin","zango","ekharri","maitatu",NA,"Ø","-tik","-tu","izain","eman (d)ezadazu","zaurte",NA,"gaztenak","-ra","bestelakoak","bestelakoak","maitatu","gehien","zuka",NA,NA,"asto","deitu","ekarri","buruan","dihuru","ihinztatu","Ø","egun","ez...  baizik","aitzin","pot","ba-","baliz","hau","zure","idi","edan","oihan","sahar(tze)","zeru","suik",NA,"beso","harrabots","ahate","landa","kantu egin","ihizi","berotu","bide","xak(h)ur","aza","zeru","oilar","lepo","hobendun","ezagutu","-er",NA,"despendiatu","hondar","dezan","dezakon/la","dakot","+Mugatua","dituzte","eri","sehi","lo egin","aitaren","berdin","biak markarekin","azkenean","igorri","zoinek bait-","non... bait-","eskabel","izar","gose","emazte",NA,"su","hosto","lili","ehotu","hotz","gasna","frutu","-a","gituk","zaindu","-Mugatua","zerbitzari","hiz","izanen","pilda","non... bait-","urus/uros","atzo",NA,"haren","bere","gizon","hemen","akozue","-z","- mugatua","zango","baratz","gazte","kontent","pollit","juratu","-Mugatua","zeren (eta) -n","singularra","larre","negar","ahinki","hemen","ene","jeiki","ohe","urrun","argizaitia",NA,"nagusi","malurus","jan","gaizto","ezarri","hilabete","nain","-Mugatua","sortu","tafaila","nezazula","berri","izan nuzu","ats","egin","Det. zehatzg.","begi","arrautza","xori","-en -tzera","-n","ideki","barkhatu","agertu","barkatu","partitu","parte","-rik","-a","gaixo","bekatu","zango","sagarrondo","xerri","usteldu","errauts","hartu","prodigo","punitu","kitatu","mahats","bildu","so egin","alegeratu","erresponditu","erreprotxu egin","atzeman","erreka","joan","jakin","ats","zapata","-ekin","izerdi","mahai","ordu","zabaldu","tireta","-k rekin","erori","goitxe","herrestan","tratatu","pasatu","-gana(t)",NA,"-","-t(z)era","aratxe","saldu","heldu","tripa","besti","huts","ano","fite",NA,"auzo","hegaldaka joan","ziezte","-netz eta -n","guzia(k)","alokutiboa","ziakozun","zitzin","zaizkotzun","janen zuen","Ahaxe-Alciette-Bascassan","43.148752","-1.16426899999999"
"Ahetze","-ea","-oak","huna","-aren gainean","(h)anitz","arroltze","aski","bat ere","ezen ba-","nihor","bere burua","zer","erhaztun","z-","aneia","jarrarazi","auzo","bait-","baizik",NA,"igorri","zapata","-zd-","ez z-","leiho","mahain","berean","mut(h)il","(h)on","gehiago","ongi","zoin","zango","ekharri","maithatu","guti","/h/","-tik","-tu","izanen","emadazu","zatozte","zagoelarik","gaztienak","-rat","-etarat","-ra","maitatu","zaharrena","neutroa",NA,"orai","asto","deitu","ekarri","buruan","diru","arrosatu","Ø","egun","ez...  baizik","lehen","musu","ba-","baliz","hau","zure","idi","edan","oihan","sagar(tze)","zeru","surik","on","beso","harrabots","ahate","landa","kantatu","ihizi","berotu","bide","zak(h)ur","aza","zeru","oilar","lepo","hobendun","sinetsi","bestelakoak","bezain laster","xahutu","azken","dezadan","dezon/la","diot","-Mugatua","diuzte","eri","mutil","lo egin","aitaren","igual","biak markarekin","azkenean","igorri","zoinek bait-","non... bait-","alki","izar","gose","emazteki","leiho","su","hosto","lore","erhotu","hotz","gasna","fruitu","Ø","gaituk","zaindu","-Mugatua","jende","haiz","izanen","arropa","non... bait-","urus/uros","atzo","hek","haren","bere","gizon","hemen","zozue","-ez","- mugatua","zango","baratz","gazte","loria","pollit","arnegu","+Mugatua","zeren (eta) bait-","plurala","larre","negar","arinki","hemen","ene","zutitu","ohe","urrun","ilargi","orain","nagusi","malurus","jan","gaizto","ezarri","hilabete","nadin","-Mugatua","sortu","dafaila","nezazula","berri","izan nintzen","gau","obeditu","Det. zehatzg.","begi","arrautza","xori","-en -tzera","-la","ideki","barkhatu","agertu","barkatu","partitu","zati","-rik","-a","gaixo","bekatu","zango","sagarrondo","xerri","usteldu","errauts","hartu","gastosa","gaztigatu","utzi","mahats","bildu","behatu","alegeratu","ihardetsi","mehatxu egin","kausitu","erribera","joan","jakin","arrats","zapata","-ekin","izerdi","mahai","denbora","hedatu","tireta","-k rekin","erori","goizegi","herrestatu","tratatu","trabesatu","kausitu","hil","-ela","-t(z)erat","txahal","saldu","etorri","tripa","maripulis","huts","arno","berehala",NA,"auzo","airean ibili","zaizte","-n","guzia(k)","zioten","zion","zituen","ziozkan","janen zuen","Ahetze","43.405472","-1.56791290000001"
"Aiherra","-ia","-oak","huna","-aren gainean","(h)anitz","arroltze","aski","bestelakoak","zeren (eta) bait-","nihor","bere burua","zer","erhaztun","z-","anea","jarrarazi","auzo","bait-","baizik","bardin","igorri","zapeta","-zt-","etz-","leiho","mahain","berean",NA,"(h)on","gehiago","anitx",NA,"zango","ekharri","maithatu","guti","Ø","-tik","-tu","izanen","ekarzu","(t)zaizte","zaolarik","gaztenak","-ra","-taat","-ra","maitatu","zaharrena","neutroa",NA,"orai","asto","deitu","ekarri","barnean","diru","ihinztatu","Ø","egun","ez...  baizik","lehen","pot","ba-","balitz","hori","zure","idi","edan","oihan","sagar(tze)","zeru",NA,"on","beso","harrabots","ahate","landa","kantatu","ihizi","berotu","bide","zak(h)ur","aza","zeru","oilar","lepo","hobendun","sinetsi","bestelakoak","-nean","xahutu","azken","dezadan","bestelakoak","diot","-Mugatua","bestelakoak","eri","sehi","lo egin","aitaren","bardin","biak markarik gabe","enfin","igorri","(eta) ba-","han...","katxet","izar","gose","emazteki","leiho","egur","hosto","lili","erhotu","hotz","gasna","fruitu","-a","gira","zain","-Mugatua","jende","hiz","izanen","arropa","non... bait-","urus/uros","atzo",NA,"haren","bere","gizon","hemen","ozue","-z","- mugatua","zango","baratz","gazte","bozkario","pollit","juramentu","-Mugatua","zeren (eta) bait-","singularra","larre","negar","arinki","hemen","ene","jeiki","ohe","urrun","argizari","orain","nagusi","malurus","jan","gaixto","ezarri","hilabete","nadin","-Mugatua","sortu","tafaila","nezazula","berri","izan nintzen","gau","obeditu","- mugatua","begi","arrautza","xori","Ø -tzera","-n","ideki","barkhatu","agertu","barkatu","partitu","parte","-rik","-a","gaixo","bekatu","zango","sagarrondo","urde","usteldu","errauts","hartu","prodigo","punitu","kitatu","mahats","bildu","behatu","bozkariatu","ihardetsi","erreprotxu egin","harrapatu","ur","joan","jakin","gau","zapata","-ekin","izerdi","mahai","ordu","luzatu","tiranta","-k rekin","erori","goizegi","herrestan","tratatu","trabesatu","atzeman","hil","-","-t(z)era","aratxe","saldu","heldu","sabel","maripulis","huts","arno","fite","bizi","auzo","hegaldatu",NA,"-n","guzia(k)","zioten","zion","zituen","zion","janen zuen","Ayherre","43.392112","-1.25350300000002"
"Ainharbe","-ia","-uak","horra","-an gainean","hanitx","arraultze","aski","bestelakoak","ezi(k) ba-","ihur","nor (aditza)","zer","erhaztun","z-","anaia","jarrerazi","aizo","beit-","bezik","bardin","igorri",NA,"-zt-","etz-","leiho","mahain","berean","mithil",NA,"haboro","izigarri",NA,"zanko","ekharri","maithatu","güti","Ø","-tik","-tu","izanen","eman izadazu","(t)ziauzte",NA,"gaztenak","bestelakoak","-etarat","-la","maitatu","gehien","zuka",NA,"orai","asto","deitu","ekarri","barnean","diharu","ihinztatu","Ø","egun","ez...  baizik","lehen","pot","ba-","baliz","hori","zure","idi","edan","oihan","sagar(tze)","zelü","surik",NA,"beso","herots","ahate","alor","kantatu","ihize","berotu","bide","or","aza","zelü","oilo","lepo","ogendant","sinetsi","-er","bezain sarri","despendiatu","azken","dezadan","dizon/la","diot","-Mugatua","dütie","eri","mutil","lo egin","aitaren","bardin","biak markarekin","azkenean","igorri","(eta) ba-","non... bait-","katxet","izar","gose","emazte","leiho","su","hosto","lili","erhotu","hotz","gasna","frutu","-a","gutuk","zaindu","Zenbakarria +Mugatua","jende","hiz","izanen","arropa","non... bait-","irus","atzo",NA,"haren","bere","gizon","hemen","izozue","-ez","- mugatua","zankho","baratz","gazte","boztario","ejer","arnegatu","-Mugatua","zeren (eta) bait-","singularra","mendi","negar","arinki","heben","ene","jeiki","ohe","urrun","argizagi","orain","nagusi","malerus","jan","gaiztagin","ezarri","hilabete","nadin","-Mugatua","sortu","tahaila","nezazula","berri","izan nunduzun","gai","obeditu","- mugatua","begi","arrautza","xori","Ø -tzera","-n","zabaldu","pharkatu","agertu","barkatu","partitu","parte","-rik",NA,"gaixo",NA,"huñ","sagartze","xerri","hi(r)otu","errauts","hartu","prodigo","gaztigatu","utzi","mahats","bildu","so egin","alegeratu","arrapostu eman","mehatxu egin","arraediren","uheitz","joan","jakin","gai",NA,"-eki","izerdi","mahai","ordu","hedatu","tireta","-k barik","iraili","goitxe","herresta","tratatu","igaran","ediren","ehain","-",NA,"txahal","saldu","jin","sabel","kamisola","huts","ardu","bertan",NA,"auzo","hegaldatu","zirie","-netz","oro","alokutiboa","ziozun","zititzun","ziotzun","jan zukian","Ainharp","43.260079","-0.931391"
"Ainhize-Monjolose","-ia","-oak","horra","-Ø gainean","(h)anitz","arraultze","aski","bat ere","zeren (eta) bait-","nehor","bere burua","zer","erhaztun","z-","anaia","jarrarazi","auzo","beit-","baizik","bardin","igorri","zapata","-zt-","etz-","leiho","mahai","berean","mut(h)il","(h)on","gehiago","biziki","zoin","zango","ekharri","maithatu","guti","Ø","-tik","-tu","izanen","eman (d)ezadazu","zaute",NA,"gazteenak","-ra","-etarat","-ra","maitatu","gehien","neutroa",NA,"orai","asto","deitu","ekarri","buruan","diru","ureztatu","Ø","egun","ez...  baizik","lehen","pot","Ø-","baliz","hori","zure","idi","edan","oihan","sagar(tze)","zeru","suik","on","beso","harrabots","ahate","landa","kantatu","ihizi","berotu","bide","xak(h)ur","aza","zeru","oilar","lepo","hobendun","sinetsi","-er","bezain laster","xahutu","azken","dezadan","dezon/la","dakot","-Mugatua","duzte","eri","sehi","lo egin","aitaren","bardin","biak markarekin","azkenekoz","igorri","zoinek bait-","non... bait-","alki","izar","gose","emazte","leiho","su","hosto","lili","ehotu","hotz","gasna","fruta","-a","gituk","zaindu","-Mugatua","etxeko","hiz","izanen","pilda","non... bait-","bozkarioz/-tan","atzo","hek","harren","bere","gizon","hemen","ezozue","-z","- mugatua","zango","baratz","gazte","alagrantzia","pollit","arneguka","-Mugatua","zeren (eta) bait-","singularra","larre","negar","ahinki","hemen","ene","jeiki","ohe","urrun","ilargi","orain","nagusi","dohakabe","jan","gaiztagin","ezarri","hilabete","nadin","-Mugatua","sortu","dafaila","nezazula","berri","izatu ninduzun","gau","egin","- mugatua","begi","arrautza","xori","-en -tzera","-la","zabaldu","barkhatu","agertu","barkatu","zatitu","zati","-rik","-a","gaixo","bekatu","(h)oin","sagarrondo","urde","usteldu","errauts","hartu","barreiatu","gaztigatu","utzi","mahats","bildu","so egin","alegeratu","arrapostu eman","gaizki","atzeman","ur","joan","jakin","arrats","zapata","-ekin","izerdi","mahai","ordu","hedatu","tirader","-k rekin","erori","goizegi","herrestan","ekarri","iragan","kausitu","hil","-ela","-t(z)era","aratxe","saldu","jin","sabel","xamar","huts","arno","berehala","bizi","auzo","hegaldatu","zizte","-n","guzia(k)","zioten","zakon","zitien","ziozkan","janen zuen","Aïnhice-Mongelos","43.2061","-1.15419999999995"
"Ainhoa","-ea","-oak","huna","-an gainean","(h)anitz","arroltze","aski","bat","zeren (eta) bait-","nihor","bere burua","zer","erhaztun","tz-","anaia","jarraazi","auzo","bait-","baizik","bardin","egorri","zapata","-zd-","etz-","leiho","mahain","berean","mut(h)il","(h)on","gehiago","arras","zuin","zango","ekharri","maithatu","guti","Ø","-tik","-tu","izanen","eman nezazu","zatozte",NA,"gazteenak","-rat","-etara","-rat","maitatu","zaharrena","neutroa",NA,"orai","asto","deitu","ekarri","buruan","diru","arrosatu","Ø","egun","ez...  baizik","lehen","musu","ba-","baliz","hau","zure","idi","edan","oihan","sagar(tze)","zeru","suik","on","beso","harrabots","ahate","landa","kantatu","ihizi","berotu","bide","xak(h)ur","aza","zeru","oilar","lepo","faltadun","sinetsi","-ei","ondoan","xahutu","azken","dezadan","diozola","diot","+Mugatua","dituzte","eri","mutil","lo egin","aitaren","bardin","biak markarekin","azkenean","egorri","zoinek bait-","non... bait-","zizeilu","izar","gose","emazte","leiho","su","hosto","lore","erhotu","hotz","gasna","fruitu","Ø","gare","zaindu","+Mugatua","jende","haiz","izanen","puska","non... bait-","urus/uros","atzo","hek","haren","bere","gizon","hemen","izozue","-ez","- mugatua","zango","baratz","gazte","bozkario","pollit","juramentuka","+Mugatua","zeren (eta) bait-","singularra","larre","negar","arinki","hemen","ene","altxatu","ohe","urrun","ilargi","orain","nagusi","malurus","jan","gaixto","eman","hilabete","nadin","-Mugatua","sortu","tafaila","nezazula","berri","izan nintzen","gau","obeditu","- mugatua","begi","arrautza","xori","-a -tzera","-la","ideki","barkhatu","agertu","barkatu","partitu","parte","-rik","-a","gaixo","bekatu","zango","sagarrondo","xerri","usteldu","errauts","hartu","prodigo","gaztigatu","utzi","mahats","bildu","begiratu","bozkariatu","arrapostu eman","erreprotxu egin","atzeman","ur","joan","jakin","arrats","zapata","-ekin","izerdi","mahai","ordu","hedatu","tireta","-k rekin","erori","goizegi","herrestan","moldatu","pasatu","atzeman","hil","-ela","-t(z)erat","aratxe","saldu","etorri","sabel","maripulis","huts","arno","fite","bizi","auzo","airatu","zaete","-n","guzia(k)","zioten","zion","zituen","ziozkan","janen zuen","Ainhoa","43.3288327","-1.4712982"
"Aintzila","-ia","-uak","horra","-an gainean","anhitz","arrultze","aski","bat ere","ezi(k) ba-","nehor","bere burua","zer","ehaztun","z-","anaia","jarrarazi","auzo","bait-","bezik","berdin","igorri","zapata","-zt-","etz-","leiho","mahi","berean","mut(h)il","(h)un","gehiago","arras","zoin","zango","ekharri","maithatu","guti","Ø","-tik","-tu","izanen","eman (d)ezadazu","zaurte",NA,"gaztenak","-ra","-etat","-ra","maitatu","gehien","neutroa",NA,"orai","asto","deitatu","ekarri","buruan","dihuru","urtatu","Ø","egun","ez...  baizik","lehen","pot","Ø-","balitz","hori","zure","idi","edan","oihan","sagar(tze)","zeru","surik","on","beso","azantz","ahate","alor","kantatu","ihizi","berotu","bide","xak(h)ur","aza","zeru","oilar","lepo","hobendun","sinetsi","-er","bezain laster","gastatu","menosen","dezadan","dezakon/la","diakoat","-Mugatua","dituzte","eri","mutil","lo egin","aitaren","berdin","biak markarekin","azkenean","igorri","zoinek bait-","non... bait-","alki","izar","gose","emazte","leiho","su","hosto","lili","ehotu","hotz","gasna","fruitu","-a","gituk","zaindu","-Mugatua","jende","hiz","izanen","arropa","non... bait-","urus/uros","atzo","hek","haren","bere","gizon","hemen","akozue","-ez","- mugatua","zango","baratz","gazte","bozkalentzia","pollit","juramentuka","-Mugatua","zeren (eta) bait-","plurala","larre","negar","ahinki","hemen","ene","zutitu","ohe","urrun","ilargi","orain","nagusi","malurus","jan","gaixto","ezarri","hilabete","nadien","-Mugatua","sortu","tafaila","nezazula","berri","izan nintzen",NA,"obeditu","- mugatua","begi","arrautza","xori","-en -tzera","-la","idoki","barkhatu","agertu","barkatu","zatitu","parte","-rik","-a","gaixo","bekatu","(h)oin","sagarrondo","xerri","usteldu","errauts","hartu","enpoiltzaile","gaztigatu","utzi","mahats","bildu","so egin","bozkariatu","ihardetsi","erreprotxu egin","atzeman","hur","joan","jakin","arratsalde","zapata","-ekin","izerdi","mahai","ordu","hedatu","tiranta","-k rekin","erori","goizegi","herrestan","tratatu","pasatu","atzeman","hil","-ela","-t(z)era","aratxe","saldu","jin","sabel","barneko","huts","ano","berehala",NA,"auzo","airatu",NA,"-netz eta -n","guzia(k)","alokutiboa","zakon","zitzazkon","ziazkotzun","janen zuen","Aïncille","43.14421","-1.19489299999998"
"Aiziritze-Gamue-Zohazti","-ia","-uak",NA,"-Ø gainean","anizko","arroltze","aski","bat ere","ezi(k) ba-","nehor","bere burua","zer","ehaztun",NA,"anaia","jarrerazi","auzo","beit-","baizik","bardin","egorri",NA,"-zt-","etz-","leiho","mahain","ber","mut(h)il","(h)un","gehiago","arras",NA,"zango","ekharri","maithatu","güti","Ø","-tik","-tu","izanen","eman ezazu","zauzte",NA,"gaztenak","-rat","-talat","-rat","maitatu","gehien","neutroa",NA,"orai","asto","deitu","ekarri","buruan","dihuru","arrosatu","Ø","egun","ez...  baizik","lehen","pot","balin ba-","baliz","hori","zure","idi","edan","oihan","sagar(tze)","zelü","suik","on","beso","azantz","antzara","pentze","kantatu","ihize","berotu","bide","xak(h)ur","aza","zelü","oilar","lepo","ogendun","sinetsi","bestelakoak","-nean","enplegatu","azken","dezadan","dezakon/la","dakot","-Mugatua","duzte","eri","mainat","lo egin","aitaren","bardin","biak markarekin","enfin","egorri","non bait-","non... bait-","alki","izar","gose","emazte","leiho","su","hosto","lili","ehotu","hotz","gasna","fruta","-a","gituk","begiratu","+Mugatua","jende","haiz","izanen","arropa","non... bait-","irus","atzo",NA,"haren","bere","gizon","hemen","(e)zakozie","-z","adb.","zango","baratz","gazte","plazer","pollit","arnegu","-Mugatua","zeren (eta) bait-","singularra","alor","negar","ahinki","heben","ene","jeiki","ohe","urrun","argizagi","orain","nagusi","malerus","jan","gaixto","ezarri","hilabete","nadin","-Mugatua","sortu","dafaila","nezazula","berri","izan nintzen","gau","sinetsi","- mugatua","begi","arrautza","xori","-en -tzera","-la","zabaldu","barkhatu","agertu","barkatu","partaiatu","parte","-rik","-(r)ik","gaixo","bekatu","zango","sagartze","urde","usteldu","errauts","hartu","enplegatzaile","punitu","utzi","mahats","bildu","ikusi","alegeratu","erran","erreprotxu egin","arratzeman","hur","joan","jakin","gau","oski","-ekin","izerdi","mahai","ordu","luzatu","tireta","-k rekin","erori","sobera goiz","herrestan","tratatu","pasatu","atzeman","hil","-ela","-t(z)erat","aratxe","saldu","jin","sabel","besta","huts","arno","berehala","bizi","auzo","hegaldatu","zizte","-netz eta -n","guzia(k)","bestelakoak","bestelakoak","bestelakoak","zaizkon","janen zuen","Aicirits","43.3369209","-1.023626"
"Aldude","-ea","-oak","horra","-Ø gainean","(h)anitz","arroltze","aski","bestelakoak","zeren bait-","nehor","nor (aditza)","zer","eraztun",NA,"aneia","jarrarazi","auzo","bait-","baizik","berdin","igorri","zapeta","-zd-","ez z-","leiho","mahi","berean","mut(h)il","(h)on","gehiago","arras","zoin","zango","ekarri","maitatu",NA,"Ø","-tik","-tu","izanen","emadazu","zatozte",NA,"gaztenak","-rat","-etarat","-ra","maitatu","zaharrena","neutroa",NA,"orai","asto","deitatu","ekarri","buruan","dihuru","arrosatu","Ø","egun","ez...  baizik","lehen","pot","ba-",NA,"hori","zure","idi","edan","oihan","sagar(tze)","zeru","surik","on","beso","azantz","ahate","alor","kantatu","ihizi","berotu","bide","zak(h)ur","aza","zeru","oilar","lepo","hobendun","sinetsi","bestelakoak","bezain sarri","despendiatu","azken","dezatan","dezon/la","diot","+Mugatua","duzte","eri","mutil","lo egin","aitaren","berdin","biak markarekin","azkenean","igorri","zoinek bait-","non... bait-","alki","izar","gose","andre","leiho","su","hosto","lore","erotu","hotz","gasna","fruitu","-a","gira","zaindu","+Mugatua","jende","hiz","izanen","bestimenta","hain.. bait-","urus/uros","atzo","hek","haren","bere","gizon","hemen","zozue","-ez",NA,"zango","baratz","gazte","plazer","pollit","juramentu","+Mugatua","zeren (eta) bait-","plurala","landa","negar","arinki","hemen","ene","jeiki","ohe","urrun","ilargi","orain","nagusi","malurus","jan","gaixto","eman","hilabete","nadin","-Mugatua","sortu","tafaila","nezazula","berri","izan nintzen","gau","obeditu","- mugatua","begi","arrautza","xori","-a -tzera","-la","ideki","barkhatu","agertu","barkatu","partitu","parte","-rik","-a","gaixo","bekatu","zango","sagarrondo","xerri","usteldu","errauts","hartu","prodigo","punitu","urrundu","mahats","juntatu","behatu","alegeratu","erresponditu","erreprotxu egin","harrapatu","hur","joan","jakin","arrats","zapata","-ekin","izerdi","mahai","ordu","hedatu","tiranta","-k rekin","erori","sobera fite","herrestatu","tratatu","korritu","harrapatu","hil","-ela","-t(z)erat","aratxe","saldu","jin","tripa","kamisola","huts","arno","fite","bizi","auzo","airean erabili",NA,"-n","guzia(k)","bestelakoak","bestelakoak","zituen","zaizkon","janen zuen","Aldudes","43.095765","-1.42580899999996"
